Target;Explanation
War on Drugs; the War on Drugs, the policy of a global campaign led by the United States federal government, of drug prohibition, foreign assistance, and military intervention, with the aim of reducing the illegal drug trade in the US. This is often referred in discussion of whether repression or legalization is better to reduce social harms caused by drugs.
War on Terror; the War on Terror, a global campaign led by the US against militant Islamist movements, such as Al-Qaeda, Taliban, ISIS and offshoots. Does not include the 2003 invasion of Iraq
Invasion of Iraq (2003); the invasion and occupation of Saddam's Iraq.
NATO/US Allies; the NATO and other US Allies. Mainly referred within the context of the US' bases abroad, and whether the Allies are doing enough (financially or militarily)
United Nations;
European Union;
Foreign military interventions by the US; the US military involvement in foreign conflicts. Examples include US involvement in the Syrian Civil War against Assad. Does not include Invasion or Iraq, War on Terror or War on Drugs.
US Support for Israel;
Israel;
Palestine; Palestinian people. A pro-Palestinian stance would stress the rights of Palestinians to self-governance and highlight Israeli oppresion, an anti-Palestinian stance would focus more on Hamas' leadership of Palestine, or poor governance by the Palestinian Authority over the West Bank.
Black Lives Matter movement;
Blue Lives Matter movement;Blue Lives Matter movement was a counter-movement against Black Lives Matter and stressed the dangers the law enforcement faces
MeToo movement;" the MeToo movement, and the practices employed or popularized by it, such as public exposures, social media campaigns against sexual harrasment and discrimination, and also ""cancelling"" of accused figures."
Donald Trump;
Joe Biden;
Barack Obama;
G.W. Bush;
Bill Clinton;
Ronald Reagan;
Richard Nixon;
Franklin D. Roosevelt;
Theodore Roosevelt;
Abraham Lincoln;
Hillary Clinton;
Bernie Sanders;
Alexandria Ocasio-Cortez;
Elizabeth Warren;
George Soros;
Elon Musk;
Ted Cruz;
Marco Rubio;
Mitt Romney;
Ron Paul;
Newt Gingrich;
John McCain;
Trump supporters;Specifically referring to Trump supporters, rather than Republicans, Conservatives, or Right-wingers
Biden supporters;Specifically referring to Biden supporters, rather than Democrats, Centrists, Liberals etc. 
Obama supporters;Specifically referring to Obama supporters, rather than Democrats, Centrists, Liberals etc. 
Bush supporters;Specifically referring to G.W.Bush supporters, rather than Republican, Conservatives, or Right-wingers
Hillary Clinton supporters;Specifically referring to H.Clinton supporters, rather than Democrats, Centrists, Liberals etc. 
Sanders supporters;Specifically referring to Sanders supporters, rather than Democrats, Leftists, Socialists etc. 
None;When target cannot be identified
Other;When there's an explicit target but is not listed
Belief in Trump-Russia Collusion:;Regarding alleged collusion between Donald Trump and Russian authorities for political gain, including influencing elections
Belief in Russian Interference in Elections;Regarding attempts by Russia to influence US elections, without asserting whether this was intended to support Trump
Increased Surveillance; the increase in state or law enforcement surveillance activities. If the main focus is on the use of AI in surveillance, categorize under 'AI-Surveillance
